1 #anatomical sites
5 #samples
5 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.013966	0.079602
0	R1	0	P	2	v2	0.015464	0.053232
0	R1	0	P	3	v3	0.000000	0.000000
0	R1	0	P	4	v4	0.000000	0.000000
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.066993	0.261391
1	R2	0	P	2	v2	0.047273	0.116751
1	R2	0	P	3	v3	0.000000	0.000000
1	R2	0	P	4	v4	0.000000	0.004082
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.076923	0.275980
2	R3	0	P	2	v2	0.059020	0.136364
2	R3	0	P	3	v3	0.000000	0.002392
2	R3	0	P	4	v4	0.000000	0.002865
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.066914	0.239198
3	R4	0	P	2	v2	0.000000	0.002075
3	R4	0	P	3	v3	0.008048	0.116379
3	R4	0	P	4	v4	0.028369	0.057143
4	R5	0	P	0	v0	1.000000	1.000000
4	R5	0	P	1	v1	0.053691	0.206681
4	R5	0	P	2	v2	0.000000	0.000000
4	R5	0	P	3	v3	0.024272	0.104869
4	R5	0	P	4	v4	0.000000	0.000000
