1 #anatomical sites
4 #samples
7 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.053571	0.393939
0	R1	0	P	2	v2	0.028205	0.121212
0	R1	0	P	3	v3	0.000000	0.000000
0	R1	0	P	4	v4	0.013216	0.064777
0	R1	0	P	5	v5	0.000000	0.000000
0	R1	0	P	6	v6	0.004386	0.039604
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.160000	0.618421
1	R2	0	P	2	v2	0.000000	0.002625
1	R2	0	P	3	v3	0.000000	0.000000
1	R2	0	P	4	v4	0.081633	0.318182
1	R2	0	P	5	v5	0.106383	0.233766
1	R2	0	P	6	v6	0.124464	0.373913
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.000000	0.128205
2	R3	0	P	2	v2	0.000000	0.026786
2	R3	0	P	3	v3	0.000000	0.000000
2	R3	0	P	4	v4	0.000000	0.082192
2	R3	0	P	5	v5	0.000000	0.000000
2	R3	0	P	6	v6	0.000000	0.000000
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.162602	0.604651
3	R4	0	P	2	v2	0.000000	0.002445
3	R4	0	P	3	v3	0.080000	0.287879
3	R4	0	P	4	v4	0.140496	0.313830
3	R4	0	P	5	v5	0.000000	0.000000
3	R4	0	P	6	v6	0.000000	0.000000
