1 #anatomical sites
4 #samples
4 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.054893	0.330579
0	R1	0	P	2	v2	0.046154	0.134276
0	R1	0	P	3	v3	0.000000	0.012012
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.049793	0.262570
1	R2	0	P	2	v2	0.033803	0.102190
1	R2	0	P	3	v3	0.000000	0.003497
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.045685	0.288660
2	R3	0	P	2	v2	0.050826	0.134969
2	R3	0	P	3	v3	0.000000	0.001894
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.024691	0.202899
3	R4	0	P	2	v2	0.000000	0.004274
3	R4	0	P	3	v3	0.036415	0.085714
