1 #anatomical sites
4 #samples
9 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.081081	0.488372
0	R1	0	P	2	v2	0.000000	0.000000
0	R1	0	P	3	v3	0.000000	0.003953
0	R1	0	P	4	v4	0.045549	0.256757
0	R1	0	P	5	v5	0.000000	0.001972
0	R1	0	P	6	v6	0.057229	0.227612
0	R1	0	P	7	v7	0.035857	0.114943
0	R1	0	P	8	v8	0.000000	0.006689
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.059701	0.357447
1	R2	0	P	2	v2	0.039623	0.192308
1	R2	0	P	3	v3	0.000000	0.002381
1	R2	0	P	4	v4	0.000000	0.000000
1	R2	0	P	5	v5	0.000000	0.003953
1	R2	0	P	6	v6	0.000000	0.002252
1	R2	0	P	7	v7	0.000000	0.005831
1	R2	0	P	8	v8	0.000000	0.004167
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.062500	0.325503
2	R3	0	P	2	v2	0.000000	0.002198
2	R3	0	P	3	v3	0.032407	0.075342
2	R3	0	P	4	v4	0.011364	0.152778
2	R3	0	P	5	v5	0.032258	0.138686
2	R3	0	P	6	v6	0.002646	0.020101
2	R3	0	P	7	v7	0.000000	0.002151
2	R3	0	P	8	v8	0.000000	0.004228
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.075988	0.420925
3	R4	0	P	2	v2	0.057216	0.233766
3	R4	0	P	3	v3	0.000000	0.001364
3	R4	0	P	4	v4	0.000000	0.000000
3	R4	0	P	5	v5	0.000000	0.000000
3	R4	0	P	6	v6	0.000000	0.002381
3	R4	0	P	7	v7	0.000000	0.003937
3	R4	0	P	8	v8	0.026975	0.105072
