1 #anatomical sites
4 #samples
8 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.000000	0.000000
0	R1	0	P	2	v2	0.057471	0.299065
0	R1	0	P	3	v3	0.000000	0.002503
0	R1	0	P	4	v4	0.025921	0.070686
0	R1	0	P	5	v5	0.049861	0.186567
0	R1	0	P	6	v6	0.001618	0.076923
0	R1	0	P	7	v7	0.000000	0.000000
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.000000	0.002146
1	R2	0	P	2	v2	0.017065	0.170149
1	R2	0	P	3	v3	0.000000	0.002551
1	R2	0	P	4	v4	0.000000	0.010204
1	R2	0	P	5	v5	0.011111	0.096916
1	R2	0	P	6	v6	0.000000	0.002288
1	R2	0	P	7	v7	0.027616	0.447581
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.028332	0.155039
2	R3	0	P	2	v2	0.025478	0.337209
2	R3	0	P	3	v3	0.000000	0.001541
2	R3	0	P	4	v4	0.000000	0.002849
2	R3	0	P	5	v5	0.009940	0.056818
2	R3	0	P	6	v6	0.012072	0.102493
2	R3	0	P	7	v7	0.000000	0.004310
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.000000	0.003663
3	R4	0	P	2	v2	0.007326	0.242754
3	R4	0	P	3	v3	0.039427	0.138889
3	R4	0	P	4	v4	0.000000	0.001529
3	R4	0	P	5	v5	0.000000	0.004444
3	R4	0	P	6	v6	0.000000	0.000000
3	R4	0	P	7	v7	0.000000	0.000000
