1 #anatomical sites
5 #samples
9 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.121339	0.400000
0	R1	0	P	2	v2	0.000000	0.001059
0	R1	0	P	3	v3	0.000000	0.000000
0	R1	0	P	4	v4	0.000000	0.000000
0	R1	0	P	5	v5	0.038339	0.150943
0	R1	0	P	6	v6	0.063384	0.229630
0	R1	0	P	7	v7	0.000000	0.023474
0	R1	0	P	8	v8	0.041667	0.204545
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.111244	0.391982
1	R2	0	P	2	v2	0.000000	0.000000
1	R2	0	P	3	v3	0.030387	0.118227
1	R2	0	P	4	v4	0.000000	0.000958
1	R2	0	P	5	v5	0.000000	0.001075
1	R2	0	P	6	v6	0.058596	0.250608
1	R2	0	P	7	v7	0.000000	0.000000
1	R2	0	P	8	v8	0.053571	0.196507
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.033175	0.289421
2	R3	0	P	2	v2	0.000000	0.000000
2	R3	0	P	3	v3	0.000000	0.000000
2	R3	0	P	4	v4	0.023850	0.067692
2	R3	0	P	5	v5	0.000000	0.002212
2	R3	0	P	6	v6	0.000000	0.001199
2	R3	0	P	7	v7	0.000000	0.000000
2	R3	0	P	8	v8	0.000000	0.001832
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.098884	0.426573
3	R4	0	P	2	v2	0.000000	0.000482
3	R4	0	P	3	v3	0.000000	0.001590
3	R4	0	P	4	v4	0.000000	0.001565
3	R4	0	P	5	v5	0.000000	0.001015
3	R4	0	P	6	v6	0.061927	0.246575
3	R4	0	P	7	v7	0.081174	0.093093
3	R4	0	P	8	v8	0.039823	0.182979
4	R5	0	P	0	v0	1.000000	1.000000
4	R5	0	P	1	v1	0.053968	0.310413
4	R5	0	P	2	v2	0.022907	0.089961
4	R5	0	P	3	v3	0.000000	0.000751
4	R5	0	P	4	v4	0.000000	0.003367
4	R5	0	P	5	v5	0.000000	0.003774
4	R5	0	P	6	v6	0.003788	0.119241
4	R5	0	P	7	v7	0.000000	0.000000
4	R5	0	P	8	v8	0.000000	0.001802
