1 #anatomical sites
3 #samples
8 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.034722	0.128571
0	R1	0	P	2	v2	0.002198	0.024390
0	R1	0	P	3	v3	0.028822	0.376278
0	R1	0	P	4	v4	0.039062	0.203540
0	R1	0	P	5	v5	0.006160	0.113725
0	R1	0	P	6	v6	0.000000	0.001575
0	R1	0	P	7	v7	0.000000	0.003135
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.000000	0.000000
1	R2	0	P	2	v2	0.000000	0.001340
1	R2	0	P	3	v3	0.006369	0.191304
1	R2	0	P	4	v4	0.001721	0.011673
1	R2	0	P	5	v5	0.000000	0.000000
1	R2	0	P	6	v6	0.000000	0.001912
1	R2	0	P	7	v7	0.028708	0.077193
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.000000	0.000929
2	R3	0	P	2	v2	0.030418	0.125000
2	R3	0	P	3	v3	0.005128	0.236025
2	R3	0	P	4	v4	0.000000	0.000000
2	R3	0	P	5	v5	0.001669	0.172638
2	R3	0	P	6	v6	0.028599	0.098425
2	R3	0	P	7	v7	0.000000	0.001289
