1 #anatomical sites
4 #samples
11 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.098592	0.253394
0	R1	0	P	2	v2	0.000000	0.000000
0	R1	0	P	3	v3	0.037221	0.109474
0	R1	0	P	4	v4	0.086420	0.237736
0	R1	0	P	5	v5	0.000000	0.001520
0	R1	0	P	6	v6	0.000000	0.000000
0	R1	0	P	7	v7	0.000000	0.003115
0	R1	0	P	8	v8	0.008621	0.258333
0	R1	0	P	9	v9	0.000000	0.000000
0	R1	0	P	10	v10	0.000000	0.042714
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.066116	0.202899
1	R2	0	P	2	v2	0.024155	0.060556
1	R2	0	P	3	v3	0.000000	0.001715
1	R2	0	P	4	v4	0.020000	0.066667
1	R2	0	P	5	v5	0.042254	0.139785
1	R2	0	P	6	v6	0.000000	0.000000
1	R2	0	P	7	v7	0.023761	0.053452
1	R2	0	P	8	v8	0.000000	0.002241
1	R2	0	P	9	v9	0.000000	0.001134
1	R2	0	P	10	v10	0.000000	0.001686
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.107143	0.269300
2	R3	0	P	2	v2	0.000000	0.001969
2	R3	0	P	3	v3	0.000000	0.000000
2	R3	0	P	4	v4	0.129973	0.271429
2	R3	0	P	5	v5	0.000000	0.000000
2	R3	0	P	6	v6	0.030769	0.103837
2	R3	0	P	7	v7	0.000000	0.001172
2	R3	0	P	8	v8	0.002849	0.252174
2	R3	0	P	9	v9	0.000000	0.000000
2	R3	0	P	10	v10	0.059925	0.255319
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.040918	0.174074
3	R4	0	P	2	v2	0.028961	0.080550
3	R4	0	P	3	v3	0.000000	0.001894
3	R4	0	P	4	v4	0.000000	0.004301
3	R4	0	P	5	v5	0.037975	0.133663
3	R4	0	P	6	v6	0.000000	0.000000
3	R4	0	P	7	v7	0.000000	0.000000
3	R4	0	P	8	v8	0.000000	0.001753
3	R4	0	P	9	v9	0.033784	0.057072
3	R4	0	P	10	v10	0.000000	0.001460
