1 #anatomical sites
2 #samples
6 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.077568	0.307792
0	R1	0	P	2	v2	0.000000	0.005495
0	R1	0	P	3	v3	0.031579	0.098404
0	R1	0	P	4	v4	0.025856	0.093458
0	R1	0	P	5	v5	0.024602	0.108647
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.085938	0.219178
1	R2	0	P	2	v2	0.028533	0.113095
1	R2	0	P	3	v3	0.002513	0.096220
1	R2	0	P	4	v4	0.000000	0.000684
1	R2	0	P	5	v5	0.000000	0.000000
