1 #anatomical sites
4 #samples
8 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.067485	0.315385
0	R1	0	P	2	v2	0.023684	0.077419
0	R1	0	P	3	v3	0.000000	0.002699
0	R1	0	P	4	v4	0.000000	0.004405
0	R1	0	P	5	v5	0.000000	0.003945
0	R1	0	P	6	v6	0.000000	0.018750
0	R1	0	P	7	v7	0.000000	0.011662
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.177083	0.766304
1	R2	0	P	2	v2	0.000000	0.025404
1	R2	0	P	3	v3	0.000000	0.012626
1	R2	0	P	4	v4	0.000000	0.018519
1	R2	0	P	5	v5	0.000000	0.012987
1	R2	0	P	6	v6	0.040080	0.109091
1	R2	0	P	7	v7	0.000000	0.013605
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.137667	0.732394
2	R3	0	P	2	v2	0.000000	0.004630
2	R3	0	P	3	v3	0.040816	0.141612
2	R3	0	P	4	v4	0.000000	0.007634
2	R3	0	P	5	v5	0.032154	0.088855
2	R3	0	P	6	v6	0.000000	0.002564
2	R3	0	P	7	v7	0.000000	0.005338
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.128079	0.538700
3	R4	0	P	2	v2	0.000000	0.001416
3	R4	0	P	3	v3	0.000000	0.001299
3	R4	0	P	4	v4	0.022887	0.104348
3	R4	0	P	5	v5	0.000000	0.003584
3	R4	0	P	6	v6	0.000000	0.000000
3	R4	0	P	7	v7	0.033994	0.171429
