1 #anatomical sites
3 #samples
7 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.095327	0.330059
0	R1	0	P	2	v2	0.000000	0.000000
0	R1	0	P	3	v3	0.025163	0.082164
0	R1	0	P	4	v4	0.058140	0.321250
0	R1	0	P	5	v5	0.005464	0.195652
0	R1	0	P	6	v6	0.000000	0.000000
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.044872	0.179167
1	R2	0	P	2	v2	0.041667	0.090090
1	R2	0	P	3	v3	0.000000	0.000000
1	R2	0	P	4	v4	0.000000	0.002114
1	R2	0	P	5	v5	0.000000	0.003484
1	R2	0	P	6	v6	0.025689	0.073022
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.061905	0.181818
2	R3	0	P	2	v2	0.011152	0.078899
2	R3	0	P	3	v3	0.000000	0.000907
2	R3	0	P	4	v4	0.002358	0.033816
2	R3	0	P	5	v5	0.013405	0.154762
2	R3	0	P	6	v6	0.000000	0.002004
