1 #anatomical sites
2 #samples
6 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.028436	0.170213
0	R1	0	P	2	v2	0.023687	0.058043
0	R1	0	P	3	v3	0.024887	0.064320
0	R1	0	P	4	v4	0.004405	0.019455
0	R1	0	P	5	v5	0.000000	0.000991
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.006158	0.156863
1	R2	0	P	2	v2	0.001209	0.011494
1	R2	0	P	3	v3	0.000000	0.000000
1	R2	0	P	4	v4	0.031339	0.093220
1	R2	0	P	5	v5	0.024550	0.078571
