1 #anatomical sites
4 #samples
7 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.080933	0.338174
0	R1	0	P	2	v2	0.000000	0.000000
0	R1	0	P	3	v3	0.062031	0.160401
0	R1	0	P	4	v4	0.000000	0.001520
0	R1	0	P	5	v5	0.024876	0.155689
0	R1	0	P	6	v6	0.000000	0.000000
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.091603	0.389610
1	R2	0	P	2	v2	0.000000	0.001597
1	R2	0	P	3	v3	0.051887	0.183824
1	R2	0	P	4	v4	0.000000	0.000000
1	R2	0	P	5	v5	0.000000	0.000000
1	R2	0	P	6	v6	0.031279	0.179012
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.092308	0.484536
2	R3	0	P	2	v2	0.036269	0.202643
2	R3	0	P	3	v3	0.008368	0.086957
2	R3	0	P	4	v4	0.000000	0.000000
2	R3	0	P	5	v5	0.000000	0.000000
2	R3	0	P	6	v6	0.000000	0.000000
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.110825	0.474870
3	R4	0	P	2	v2	0.000000	0.000000
3	R4	0	P	3	v3	0.056215	0.230769
3	R4	0	P	4	v4	0.021657	0.116959
3	R4	0	P	5	v5	0.000000	0.002994
3	R4	0	P	6	v6	0.000000	0.000000
