1 #anatomical sites
4 #samples
8 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.030201	0.151685
0	R1	0	P	2	v2	0.000000	0.003021
0	R1	0	P	3	v3	0.000000	0.000000
0	R1	0	P	4	v4	0.009709	0.073826
0	R1	0	P	5	v5	0.024566	0.084249
0	R1	0	P	6	v6	0.000000	0.006579
0	R1	0	P	7	v7	0.000000	0.000000
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.100719	0.361635
1	R2	0	P	2	v2	0.024673	0.230769
1	R2	0	P	3	v3	0.000000	0.001116
1	R2	0	P	4	v4	0.000000	0.000000
1	R2	0	P	5	v5	0.000000	0.001412
1	R2	0	P	6	v6	0.000000	0.009091
1	R2	0	P	7	v7	0.024691	0.056034
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.079470	0.362776
2	R3	0	P	2	v2	0.000000	0.000000
2	R3	0	P	3	v3	0.102649	0.225806
2	R3	0	P	4	v4	0.103175	0.242424
2	R3	0	P	5	v5	0.000000	0.006803
2	R3	0	P	6	v6	0.000000	0.012346
2	R3	0	P	7	v7	0.000000	0.000000
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.041379	0.197605
3	R4	0	P	2	v2	0.000000	0.000000
3	R4	0	P	3	v3	0.000000	0.000000
3	R4	0	P	4	v4	0.037288	0.131579
3	R4	0	P	5	v5	0.000000	0.004082
3	R4	0	P	6	v6	0.033113	0.195122
3	R4	0	P	7	v7	0.000000	0.002494
