1 #anatomical sites
4 #samples
6 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.113772	0.356053
0	R1	0	P	2	v2	0.000000	0.009141
0	R1	0	P	3	v3	0.025591	0.117647
0	R1	0	P	4	v4	0.036232	0.217647
0	R1	0	P	5	v5	0.000000	0.003195
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.027149	0.119403
1	R2	0	P	2	v2	0.000000	0.004425
1	R2	0	P	3	v3	0.000000	0.001580
1	R2	0	P	4	v4	0.000000	0.035294
1	R2	0	P	5	v5	0.000000	0.010526
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.048930	0.218182
2	R3	0	P	2	v2	0.000000	0.001883
2	R3	0	P	3	v3	0.000000	0.000000
2	R3	0	P	4	v4	0.037190	0.101322
2	R3	0	P	5	v5	0.035461	0.088816
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.040000	0.168639
3	R4	0	P	2	v2	0.026639	0.082927
3	R4	0	P	3	v3	0.000000	0.001859
3	R4	0	P	4	v4	0.000000	0.000000
3	R4	0	P	5	v5	0.000000	0.000000
