1 #anatomical sites
2 #samples
6 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.084416	0.433962
0	R1	0	P	2	v2	0.071429	0.145709
0	R1	0	P	3	v3	0.000000	0.000000
0	R1	0	P	4	v4	0.028531	0.065274
0	R1	0	P	5	v5	0.030516	0.112847
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.165138	0.740214
1	R2	0	P	2	v2	0.054054	0.523810
1	R2	0	P	3	v3	0.050827	0.384146
1	R2	0	P	4	v4	0.000000	0.009901
1	R2	0	P	5	v5	0.000000	0.001949
