1 #anatomical sites
3 #samples
5 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.041284	0.151326
0	R1	0	P	2	v2	0.029345	0.059016
0	R1	0	P	3	v3	0.000000	0.000000
0	R1	0	P	4	v4	0.028871	0.042714
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.062963	0.194262
1	R2	0	P	2	v2	0.004032	0.046269
1	R2	0	P	3	v3	0.023704	0.041096
1	R2	0	P	4	v4	0.025956	0.107143
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.050302	0.149254
2	R3	0	P	2	v2	0.017182	0.044218
2	R3	0	P	3	v3	0.000000	0.010969
2	R3	0	P	4	v4	0.034043	0.047847
