1 #anatomical sites
5 #samples
9 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.035583	0.217391
0	R1	0	P	2	v2	0.000000	0.002088
0	R1	0	P	3	v3	0.023121	0.153499
0	R1	0	P	4	v4	0.031343	0.105263
0	R1	0	P	5	v5	0.000000	0.000856
0	R1	0	P	6	v6	0.000000	0.001330
0	R1	0	P	7	v7	0.000000	0.000000
0	R1	0	P	8	v8	0.000000	0.001471
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.015734	0.086747
1	R2	0	P	2	v2	0.000000	0.030508
1	R2	0	P	3	v3	0.006993	0.066365
1	R2	0	P	4	v4	0.000000	0.004049
1	R2	0	P	5	v5	0.000000	0.002954
1	R2	0	P	6	v6	0.000000	0.002558
1	R2	0	P	7	v7	0.000000	0.001255
1	R2	0	P	8	v8	0.000000	0.002252
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.108629	0.445026
2	R3	0	P	2	v2	0.000000	0.002532
2	R3	0	P	3	v3	0.062455	0.250000
2	R3	0	P	4	v4	0.000000	0.001497
2	R3	0	P	5	v5	0.030303	0.193980
2	R3	0	P	6	v6	0.000000	0.004360
2	R3	0	P	7	v7	0.000000	0.001385
2	R3	0	P	8	v8	0.023392	0.059102
3	R4	0	P	0	v0	1.000000	1.000000
3	R4	0	P	1	v1	0.065891	0.335589
3	R4	0	P	2	v2	0.041584	0.156379
3	R4	0	P	3	v3	0.050360	0.216015
3	R4	0	P	4	v4	0.000000	0.001282
3	R4	0	P	5	v5	0.000000	0.004348
3	R4	0	P	6	v6	0.000000	0.000000
3	R4	0	P	7	v7	0.000000	0.002304
3	R4	0	P	8	v8	0.000000	0.001166
4	R5	0	P	0	v0	1.000000	1.000000
4	R5	0	P	1	v1	0.083601	0.343939
4	R5	0	P	2	v2	0.000000	0.000979
4	R5	0	P	3	v3	0.000000	0.002288
4	R5	0	P	4	v4	0.000000	0.002160
4	R5	0	P	5	v5	0.000000	0.001642
4	R5	0	P	6	v6	0.066790	0.174033
4	R5	0	P	7	v7	0.025316	0.080189
4	R5	0	P	8	v8	0.000000	0.002674
